Name,URL,Country,Genre,Status,Photo_URL
A Devilish Domain,https://www.metal-archives.com/bands/A_Devilish_Domain/114490,Japan,Melodic Death Metal/Metalcore,Unknown,https://www.metal-archives.com/images/1/1/4/4/114490_photo.jpg
A Diaboli,https://www.metal-archives.com/bands/A_Diaboli/3540469743,Norway,Black Metal,Unknown,https://www.metal-archives.com/images/3/5/4/0/3540469743_photo.png?3920
A Diadem of Dead Stars,https://www.metal-archives.com/bands/A_Diadem_of_Dead_Stars/3540386910,Greece,Atmospheric Black Metal,Active,https://www.metal-archives.com/images/3/5/4/0/3540386910_photo.jpg?1310
A Different Cloud,https://www.metal-archives.com/bands/A_Different_Cloud/3540513071,Unknown,Atmospheric Black Metal,Active,
A Distant Sun,https://www.metal-archives.com/bands/A_Distant_Sun/3540314441,Ireland,Atmospheric Black/Doom Metal,Changed name,https://www.metal-archives.com/images/3/5/4/0/3540314441_photo.jpg
A Distorted Utopia,https://www.metal-archives.com/bands/A_Distorted_Utopia/3540413509,United Kingdom,Technical Melodic Death Metal,Active,https://www.metal-archives.com/images/3/5/4/0/3540413509_photo.jpg?4802
A Document Says,https://www.metal-archives.com/bands/A_Document_Says/3540356522,Germany,Experimental/Sludge Metal,Active,https://www.metal-archives.com/images/3/5/4/0/3540356522_photo.jpg?3528
A Divinis,https://www.metal-archives.com/bands/A_Divinis/3540513158,United States,Technical/Blackened Death Metal,Active,
A Dream of Ghosts,https://www.metal-archives.com/bands/A_Dream_of_Ghosts/3540511354,United States,Sludge Metal/Hardcore,Active,https://www.metal-archives.com/images/3/5/4/0/3540511354_photo.jpg?2944
A Dreadful Vision,https://www.metal-archives.com/bands/A_Dreadful_Vision/3540496959,Germany,Deathcore,Split-up,https://www.metal-archives.com/images/3/5/4/0/3540496959_photo.jpg?2409
A Dream of Poe,https://www.metal-archives.com/bands/A_Dream_of_Poe/79756,Portugal,Gothic/Doom Metal,Active,https://www.metal-archives.com/images/7/9/7/5/79756_photo.jpg?4432
A Dream Set Fire,https://www.metal-archives.com/bands/A_Dream_Set_Fire/3540433276,United States,Groove/Thrash Metal,Active,https://www.metal-archives.com/images/3/5/4/0/3540433276_photo.jpg?5518
A Dying God,https://www.metal-archives.com/bands/A_Dying_God/3540377912,United Kingdom,Black Metal/Grindcore,Split-up,https://www.metal-archives.com/images/3/5/4/0/3540377912_photo.jpg?3150
A Dying Soul,https://www.metal-archives.com/bands/A_Dying_Soul/3540512932,United States,Doom Metal/Experimental,Active,https://www.metal-archives.com/images/3/5/4/0/3540512932_photo.jpg?0447
A Dying Season,https://www.metal-archives.com/bands/A_Dying_Season/3540362325,Mexico,Death Metal,Split-up,https://www.metal-archives.com/images/3/5/4/0/3540362325_photo.jpg?5531
A Failing Devotion,https://www.metal-archives.com/bands/A_Failing_Devotion/3540405673,France,Melodic Death Metal/Metalcore,Active,https://www.metal-archives.com/images/3/5/4/0/3540405673_photo.jpg?1133
A Fallen Martyr,https://www.metal-archives.com/bands/A_Fallen_Martyr/3540291518,United States,Thrash/Groove Metal,Split-up,https://www.metal-archives.com/images/3/5/4/0/3540291518_photo.jpg
A Fallen Theory,https://www.metal-archives.com/bands/A_Fallen_Theory/3540464932,Australia,Deathcore,Split-up,https://www.metal-archives.com/images/3/5/4/0/3540464932_photo.jpg?3328
A Feast for Lampreys,https://www.metal-archives.com/bands/A_Feast_for_Lampreys/3540508021,United States,Melodic Black Metal,Active,https://www.metal-archives.com/images/3/5/4/0/3540508021_photo.jpg?0813
