Label ID,Name,Specialization,Status,Country,Website,Online Shopping
679,Metalrulez Productions,,closed,Poland,http://www.metalrulezprod.prv.pl/,
30979,Metalsaurus Records,,unknown,,,
64578,MetalSlave Records,,unknown,Unknown,,
54210,Metalslut Records,,active,United States,http://metalslut.com/,
16458,Metalsound,,closed,,,
57959,MetalSpiesser Records,"Metal, Rock, Punk/Oi",active,Germany,https://www.ms-rockshop.com/,Yes
1750,Metalstorm Productions,,closed,Germany,,
31613,Metalstorm Records,,closed,Poland,,
47254,Metalstrom Recordings,,active,United States,https://metalstromrecordings.bigcartel.com/,Yes
26978,Metaltifus Productions,"Death, Black and Thrash Metal",active,Bolivia,http://www.metaltifus.wix.com/prod-distro,
8395,Metaluna,,unknown,,,
16459,Metalúrgica Mococa,,closed,,,
2952,Metalville,"Progressive, Power, Heavy Metal",active,Germany,http://www.metalville.de/,
16460,Metalvoice,,closed,Germany,,
56715,Metalvoice (fake),,unknown,Russia,,
57526,Metalway,,active,Spain,,
1455,Metalworks,"Thrash Metal, Death Metal, Crossover",closed,United Kingdom,http://www.metalworksrecords.co.uk/,
53823,Metalworks (fake),,unknown,Russia,,
40704,Metalworld,,active,Switzerland,https://www.metalworld.ch/,
64068,Metalworx Recordings,,closed,United States,,
29431,Metamorphic Record,,active,,,
46658,Metamorphic Records,,unknown,Malaysia,,
31237,Metamorphic Rocks!,,unknown,,,
24053,Metamorphik Records,Brutal Death Metal,active,India,,
16461,Metamorphos,,closed,,,
16462,Metamorphosis,,closed,,,
5686,MetaMusic,,closed,,,
58368,Metanoia Records,,active,Mexico,,
16463,Metaphor Records,,closed,,,
53585,Metaphorest,"Cybergrind, grindcore, experimental, black metal, avant-garde",active,United States,http://metaphorestrecords.bandcamp.com,Yes
40328,Metasonic Production,,active,,,
35770,Metastation,,unknown,United States,,
26085,Metavania Music,,active,United States,http://www.metavaniamusic.com/,
39124,Meteor,,unknown,Switzerland,,
25192,Meteor Productions,,closed,France,,
32475,Meteora Records,"Melodic Death Metal, Metalcore, Modern Metal",active,Taiwan,http://www.meteorarecords.com/,
36876,Meth Head Records,,unknown,United States,,
42270,Method Music,,active,Canada,,
16465,Method of Death,,closed,,,
16466,Method of Operation,,unknown,,,
16467,Metnica,,unknown,,,
16468,Metra,,closed,,,
56922,Metrankor Videos,,unknown,Brazil,,
5687,Metro,,closed,United Kingdom,,
41863,Metro,,closed,United States,,
60282,Metro Music,,closed,Ukraine,,
3573,Metro One,,closed,,,
16470,Metro-Som,,active,Portugal,http://www.metrosom.web.pt/,
1015,Metronome Musik GmbH,,closed,Germany,,
38290,Metronome Records,,closed,Germany,,
46025,Metronome Records AG,,active,Switzerland,,
42183,Metropole Records,,active,Brazil,,
2953,Metrópolis,,closed,Mexico,,
47569,Metropolis Music,Various,active,Serbia,https://www.metropolismusic.rs/,Yes
31186,Metropolis Records,"Electro-industrial, EBM, Synthpop, Darkwave, Gothic Rock",active,United States,http://www.metropolis-records.com/,Yes
42735,Metropolis Records,Shred,closed,United States,,
48078,Metropolist Müzik,,active,Türkiye,https://twitter.com/_Metropolist_,
28998,Metropolitan State Productions,Black Metal/Dark Ambient,active,United States,http://cryostasium.blogspot.com,Yes
33407,Metropolitana/Metrodiscos,,active,Portugal,http://www.metronomo.net/,
290,MeteorCity Records,"Stoner rock, doom, sludge, drone, psych",closed,United States,http://www.meteorcity.com/,Yes
51387,Metrotama Records,,closed,Indonesia,,
40375,Metuk Ulau Underground Voices,,active,Malaysia,http://metukulau.blogspot.com/?m=1,
57297,Meudiademorte,,active,Germany,,
1321,Meurtre Noir Records,Black Metal,closed,Costa Rica,https://malphasmnr.tripod.com,
56278,Meuse Music Records,Doom Metal,active,Belgium,https://www.meusemusicrecords.eu/,Yes
